species	ANI
Bifidobacterium longum	98.86
Clostridioides difficile	98.96
Bacillus mycoides	98.43
Escherichia coli	97.49
Bacillus anthracis	99.97
Corynebacterium jeikeium	98.24
Ureaplasma parvum	99.46
Yersinia pestis	99.95
Chlamydia muridarum	99.88
Xylella fastidiosa	99.05
Vibrio cholerae	98.82
Pseudomonas aeruginosa	99.27
Streptococcus pyogenes	98.94
Halobacterium salinarum	99.31
Pasteurella multocida	99.06
Neisseria gonorrhoeae	99.46
Lactococcus lactis	98.74
Streptococcus pneumoniae	98.73
Caulobacter vibrioides	98.90
Shigella flexneri	99.89
Salmonella enterica	99.04
Sinorhizobium meliloti	99.23
Saccharolobus solfataricus	99.27
Rickettsia conorii	99.34
Methanosarcina mazei	98.69
Caldanaerobacter subterraneus	98.69
Zymomonas mobilis	98.66
Brucella melitensis	99.95
Xanthomonas campestris	98.46
Xanthomonas citri	99.80
Streptococcus agalactiae	99.11
Pyrococcus furiosus	99.98
Xanthomonas oryzae	99.51
Streptococcus mutans	99.23
Brucella suis	99.88
Porphyromonas gingivalis	98.61
Clostridium tetani	99.20
Staphylococcus epidermidis	99.10
Leptospira interrogans	99.35
Chromobacterium violaceum	98.74
Coxiella burnetii	99.78
Enterococcus faecalis	99.02
Pseudomonas syringae group genomosp. 3	99.12
Bacillus cereus	97.73
Mycobacterium avium	98.90
[Haemophilus] ducreyi	98.55
Lactobacillus johnsonii	97.33
Thermus thermophilus	98.65
Brucella abortus	99.95
Mesomycoplasma hyopneumoniae	98.51
Mycoplasmopsis synoviae	99.26
Listeria monocytogenes	96.80
Methylococcus capsulatus	99.26
Cutibacterium acnes	99.64
Bacillus licheniformis	99.75
Legionella pneumophila	97.74
Helicobacter pylori	95.61
Thermotoga maritima	100.00
Deinococcus radiodurans	99.99
Mycobacterium tuberculosis	99.94
Treponema pallidum	99.93
Methanothermobacter thermautotrophicus	98.64
Borreliella burgdorferi	99.03
Chlamydia trachomatis	98.89
Chlamydia pneumoniae	99.81
Neisseria meningitidis	97.40
Ligilactobacillus salivarius	98.11
Francisella tularensis	99.81
Staphylococcus aureus	98.69
Bacillus subtilis	99.01
Campylobacter jejuni	97.87
Nitrosomonas europaea	99.22
Xanthomonas euvesicatoria	99.91
Haloquadratum walsbyi	98.51
Cupriavidus necator	98.89
Helicobacter acinonychis	99.49
Yersinia enterocolitica	98.72
Staphylococcus carnosus	99.82
Lactococcus cremoris	99.06
Burkholderia cenocepacia	99.20
Streptococcus uberis	99.13
Clostridium perfringens	98.28
Vibrio vulnificus	98.47
Streptomyces avermitilis	99.99
Geobacillus kaustophilus	99.08
Nocardia farcinica	99.31
Staphylococcus haemolyticus	98.88
Klebsiella pneumoniae	99.40
Bacteroides fragilis	99.22
Limosilactobacillus reuteri	97.56
Desulfitobacterium hafniense	98.12
Synechococcus elongatus	99.84
Rhodococcus erythropolis	98.58
Staphylococcus saprophyticus	99.61
Limosilactobacillus fermentum	99.11
Orientia tsutsugamushi	97.28
Corynebacterium glutamicum	99.02
Clostridium kluyveri	100.00
Bifidobacterium adolescentis	98.04
Burkholderia multivorans	97.84
Macrococcus caseolyticus	98.65
Streptomyces griseus	99.79
Streptococcus dysgalactiae	96.72
Hydrogenobacter thermophilus	99.36
Acetobacter pasteurianus	98.13
Lacticaseibacillus rhamnosus	98.54
Bacteroides thetaiotaomicron	98.80
Haloarcula marismortui	100.00
Halalkalibacterium halodurans	99.21
Corynebacterium efficiens	100.00
Bradyrhizobium diazoefficiens	99.21
Mycoplasma mycoides	98.03
Burkholderia pseudomallei	99.40
Methanococcus maripaludis	98.09
Pectobacterium atrosepticum	99.46
Gluconobacter oxydans	98.15
Burkholderia mallei	99.90
Streptococcus thermophilus	98.66
Anaplasma marginale	99.14
Lactobacillus acidophilus	99.94
Shigella dysenteriae	99.95
Shigella boydii	99.83
Borrelia hermsii	99.30
Haemophilus influenzae	97.61
Pseudomonas savastanoi	98.33
Pseudomonas protegens	98.90
Burkholderia thailandensis	99.53
Prochlorococcus marinus	81.32
Oleidesulfovibrio alaskensis	99.40
Myxococcus xanthus	98.27
Mycoplasma capricolum	99.46
Phocaeicola vulgatus	99.25
Parabacteroides distasonis	98.36
Cereibacter sphaeroides	99.01
Rhodospirillum rubrum	99.00
Anaplasma phagocytophilum	98.39
Novosphingobium aromaticivorans	100.00
Paraburkholderia xenovorans	99.56
Stutzerimonas stutzeri	97.74
Mycobacterium ulcerans	99.68
Leptospira borgpetersenii	99.15
Aliarcobacter butzleri	97.85
Roseobacter denitrificans	100.00
Cytophaga hutchinsonii	100.00
Streptococcus suis	98.24
Oenococcus oeni	99.56
Lactobacillus delbrueckii	99.12
Lactobacillus gasseri	98.14
Leuconostoc mesenteroides	99.48
Levilactobacillus brevis	98.01
Pediococcus pentosaceus	99.13
Lacticaseibacillus paracasei	98.73
Shewanella frigidimarina	97.56
Nitrosomonas eutropha	99.31
Aeromonas hydrophila	97.05
Mycolicibacterium smegmatis	98.96
Campylobacter fetus	99.79
Mycolicibacterium vanbaalenii	99.67
Acidovorax citrulli	99.63
Dichelobacter nodosus	99.75
Marinobacter nauticus	97.27
Lactobacillus helveticus	99.07
Acinetobacter baumannii	98.00
Desulfovibrio vulgaris	99.28
Geobacillus thermodenitrificans	99.55
Bacillus velezensis	98.35
Shewanella baltica	96.85
Actinobacillus pleuropneumoniae	98.74
Burkholderia vietnamiensis	99.00
Flavobacterium johnsoniae	98.53
Thermotoga petrophila	96.90
Brucella ovis	99.99
Yersinia pseudotuberculosis	99.37
Clostridium beijerinckii	97.48
Clostridium botulinum	97.99
Sinorhizobium medicae	99.56
Brucella anthropi	98.25
Rickettsia rickettsii	99.92
Campylobacter hominis	99.37
Leptospira biflexa	98.63
Cronobacter sakazakii	98.14
Vibrio campbellii	96.90
